,genre,gender,avgRating
0,,,3.6378443131254796
1,Action,,3.713295451866173
2,Adventure,,4.691663362410785
3,Animation,,3.6937379407121558
4,Comedy,,3.613633987611406
5,Crime,,3.5437284588872475
6,Documentary,,3.601702150850167
7,Drama,,3.677279737098166
8,Family,,3.718320857342883
9,Fantasy,,3.7860727728983687
10,Film-Noir,,4.021881838074398
11,Horror,,3.9445281468292013
12,Music,,3.44218352572882
13,Musical,,2.426097924549937
14,Mystery,,3.6526136770497675
15,Romance,,3.684032851312541
16,Sci-Fi,,3.5848101265822785
17,Short,,3.5943440196510674
18,Thriller,,3.5647606840278865
19,War,,3.603128472519019
20,Western,,3.517936164202994
